Provinsi,Kabupaten,Kecamatan,Kelurahan,Posyandu,nomor_KK,NIK,nama_anak,jenis_kelamin,usiaoktober,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,latitude,longitude
Daerah Istimewa Yogyakarta,Bantul,Sewon,Desa A,Posyandu A,6371052579415269,6371051768074110,Anak 1,L,26.0,0,0,0,0,0,0,0,0,0,0,-7.8492232,110.3569299
Daerah Istimewa Yogyakarta,Bantul,Sewon,Desa A,Posyandu A,6371053618417393,6371054515199385,Anak 2,L,24.0,0,0,0,0,0,0,0,0,0,1,-7.8492232,110.3569299
Daerah Istimewa Yogyakarta,Bantul,Sewon,Desa A,Posyandu A,6371054744087738,6371052574146852,Anak 3,P,35.0,0,0,0,0,0,0,0,0,0,0,-7.8492232,110.3569299
Daerah Istimewa Yogyakarta,Bantul,Sewon,Desa A,Posyandu A,6371058208822923,6371058936706494,Anak 4,P,29.0,0,0,0,0,0,0,0,0,0,0,-7.8492232,110.3569299
Daerah Istimewa Yogyakarta,Bantul,Sewon,Desa A,Posyandu A,6371056797244461,6371052752267233,Anak 5,L,27.0,0,0,0,0,0,0,0,0,0,0,-7.8492232,110.3569299
Daerah Istimewa Yogyakarta,Bantul,Sewon,Desa A,Posyandu A,6371052227098319,6371054776156788,Anak 6,L,47.0,1,0,0,0,0,0,0,0,0,0,-7.8492232,110.3569299
Daerah Istimewa Yogyakarta,Bantul,Sewon,Desa A,Posyandu A,6371057897521513,6371058180157952,Anak 7,P,2.0,0,0,0,0,1,0,0,0,0,0,-7.8492232,110.3569299
Daerah Istimewa Yogyakarta,Bantul,Sewon,Desa A,Posyandu A,6371056017903969,6371059061439230,Anak 8,L,15.0,1,1,1,1,1,0,0,0,0,0,-7.8492232,110.3569299
Daerah Istimewa Yogyakarta,Bantul,Sewon,Desa A,Posyandu A,6371059408543479,6371051312138085,Anak 9,L,55.0,0,0,0,0,0,0,0,0,0,0,-7.8492232,110.3569299
Daerah Istimewa Yogyakarta,Bantul,Sewon,Desa A,Posyandu A,6371058130278852,6371051946511607,Anak 10,P,24.0,0,0,0,0,0,0,0,0,0,0,-7.8492232,110.3569299
Daerah Istimewa Yogyakarta,Bantul,Sewon,Desa A,Posyandu A,6371052709603968,6371056345402659,Anak 11,L,14.0,0,0,0,0,0,0,0,0,0,0,-7.8492232,110.3569299
Daerah Istimewa Yogyakarta,Bantul,Sewon,Desa A,Posyandu A,6371052597323843,6371054263269134,Anak 12,L,46.0,0,0,0,0,0,0,0,0,0,0,-7.8492232,110.3569299
Daerah Istimewa Yogyakarta,Bantul,Sewon,Desa B,Posyandu B,6371054237046322,6371059382805374,Anak 13,L,44.0,1,1,0,0,0,0,0,0,0,0,-7.8586278,110.3601032
Daerah Istimewa Yogyakarta,Bantul,Sewon,Desa B,Posyandu B,6371053032422016,6371059150327570,Anak 14,P,42.0,0,0,0,0,0,0,0,0,0,0,-7.8586278,110.3601032
Daerah Istimewa Yogyakarta,Bantul,Sewon,Desa B,Posyandu B,6371056100719947,6371055565526178,Anak 15,L,43.0,0,0,0,0,0,0,0,0,0,0,-7.8586278,110.3601032
Daerah Istimewa Yogyakarta,Bantul,Sewon,Desa B,Posyandu B,6371054431819369,6371057986732555,Anak 16,P,55.0,0,0,0,0,0,0,0,0,0,0,-7.8586278,110.3601032
Daerah Istimewa Yogyakarta,Bantul,Sewon,Desa B,Posyandu B,6371051763328615,6371058131019522,Anak 17,L,14.0,0,0,0,0,0,0,0,0,0,0,-7.8586278,110.3601032
